dateTime,stationName,tideValue
2021-09-20T00:00:00Z,Bangor,0.91
2021-09-20T00:00:00Z,Dover,2.238
2021-09-20T00:00:00Z,St+Marys,-1.255
2021-09-20T00:00:00Z,Lowestoft,0.143
2021-09-20T00:00:00Z,Lerwick,0.514
2021-09-20T00:00:00Z,Newlyn,-1.339
2021-09-20T00:00:00Z,Milford+Haven,-2.628
2021-09-20T00:00:00Z,Weymouth,-0.488
2021-09-20T00:00:00Z,Ilfracombe,-3.322
2021-09-20T00:00:00Z,Kinlochbervie,-1.554
2021-09-20T00:00:00Z,Stornoway,-1.757
2021-09-20T00:00:00Z,Plymouth,-1.912
2021-09-20T00:00:00Z,Jersey,-4.073
2021-09-20T00:00:00Z,Ullapool,-1.653
2021-09-20T00:00:00Z,Newport,-4.136
2021-09-20T00:00:00Z,Heysham,3.182
2021-09-20T00:00:00Z,Wick,1.316
2021-09-20T00:00:00Z,Avonmouth+Portbury,-3.779
2021-09-20T00:00:00Z,Mumbles,-3.604
2021-09-20T00:00:00Z,Leith,1.903
2021-09-20T00:00:00Z,North+Shields,0.961
2021-09-20T00:00:00Z,Liverpool,2.838
2021-09-20T00:00:00Z,Holyhead,0.726
2021-09-20T00:00:00Z,Millport,1.668
2021-09-20T00:00:00Z,Immingham,-2.002
2021-09-20T00:00:00Z,Cromer,-1.423
2021-09-20T00:00:00Z,Whitby,0.596
2021-09-20T00:00:00Z,Fishguard,-1.114
2021-09-20T00:00:00Z,Workington,3.021
2021-09-20T00:00:00Z,Port+Erin,1.758
2021-09-20T00:00:00Z,Harwich,1.62
2021-09-20T00:00:00Z,Barmouth,-0.776
2021-09-20T00:00:00Z,Newhaven,2.021
2021-09-20T00:00:00Z,Portrush,-0.765
2021-09-20T00:00:00Z,Sheerness,2.895
2021-09-20T00:00:00Z,Portpatrick,1.743
2021-09-20T00:00:00Z,Portsmouth,1.494
2021-09-20T00:00:00Z,Bournemouth,0.337
2021-09-20T00:15:00Z,Bangor,0.766
